product_id,image_name,extracted_text
1,image_3.jpg,"For Complaint or Feedback, Contact Email: info@blinkit.com"
12,image_3.jpg,"For Complaint or Feedback, Contact Email: info@blinkit.com"
13,image_3.jpg,"For Complaint or Feedback, Contact Email: info@blinkit.com"
14,image_1.jpg,"For Complaints/Comments please write to: CONSUMER CARE OFFICER B-30 Lawrence Road Industrial Area, Delhi-110035 info@rajdhanibesan:com 011-49019999"
13,image_2.jpg,"adani wilmar Fora healthygrowing nation Adani Wilmar Limited ""Fortune House"", Near Navrangpura Railwoy Crossing; Ahmedabad 380009, Gujarat; India Adani Wilmar Ltd, fssai Lic No: 10013021000661 Customer Care E-MAIL: care@adaniwilmarin | Toll No: 18005729909 Free"
14,image_3.jpg,"For Complaint or Feedback, Contact Email: info@blinkit.com"
12,image_2.jpg,"For Complaint / Comments please write to: 'Customer Care Executive' at = VICTORIA FOODS PVT: LTD  8-32, LAWRENCE ROAD; INDL. AREA. DELHI 110 035 (INDIA) Or at + 91-11-45325500 (30 Lines) or e-mail at: info@rajdhanigroup com Website: wwWrajdhanigroup.com PRODUCT OF INDIA Store in a cool,dry place: Do not the pack if found tampered with Imitation of Label Graph cs, Pack Design and Colour is a Punishable Ofience: This Design Brand is a Registered Trade Mark of Victona Foods Pvt: Ltd: buy-"
14,image_2.jpg,"For Complaints/Comments please write to: CONSUMER CARE OFFICER B-30 Lawrence Road Industrial Area, Delhi-110035 info@rajdhanibesan.com 011-49019999"
1,image_2.jpg,"Manufactured & Marketed By Patanjali Foods Limited: (For identification of packaging unit; see unit code in the first two characters of Lot No:) (TC) Talawali Chanda, AB. Road, P.O. Mangliya, Indore, fssai Madhya Pradesh-453771 Lic_No.10012026000040 (HAVHB) Ward No.12, Bijoyramchak, P.O. Durgachak; Haldia; Dist- Purba fssai Medinipur; West Bengal-721602 Lic_No.10012031000033 For Consumer Care Contact : Manager-Marketing; Patanjali Foods Limited, 616, Tulsiani Chambers; Nariman Point; Mumbai-400021, Maharashtra. Nutrela assurance 18001804109 wecare@patanjalifoodsco.in wWWnutrelahealthcom wwwfacebook com/nutrela"
17,image_3.jpg,"For Complaint or Feedback, Contact Email: info@blinkit.com"
1,image_1.jpg,"NUTRITIONAL INFORMATION (Approx. Values) Serving Size: 25 g, Serving Per Pack: 8 Per serve % Nutrients Walue Per contribution 100 g Io RDA* Energy (kcal) 354.14 4.42 Protein 53.19 Carbohydrate 33.5 Total Sugars 7.18 Added Sugars Total fat (g 82 03 Saturated Fat not more than (g) 0.19 0.21 Trans Fat not more than (g)  Sodium (mg) #Per serve percentage (%o) contribution to RDA calculated on the basis of 2000 kcal energy; 67 g total fat; 22 g Saturated fat, 2 g trans-fat;, 50 g added sugar and 2000 mg of sodium (5 g sall) requirement for average adult per day: Ingredients: Defatted Also Available: Nutrela Soya Granules and Nutrela Chunks Soy Soya €"
12,image_1.jpg,"AN ISO 22000 2005 COMPANY For Packaging address see the first alphabet of the Batch no. & refer below: D' Victoria Foods Pvt Lld , B-32, Lawrence Road, Indl: Area, New Delhi-110035 FSSAI LICENSE NO: 10012011000176 K' S= P Refrigeration and Food Products Pvt: Ltd. Janti Road, Kundli, Dist: Sonipat; Haryana-131028 FSSAI LICENSE NO. 10812020000046 B' Bhavin Agri- Infra Pvt: Ltd , E-7/2, MIDC, Jalgaon, Maharashtra-425003 FSSAI LICENSE NO. 11512037000532 J: Victoria Foods Pvt: Ltd. E-7/2, MIDC, Jalgaon, Maharashtra-425003"
2,image_2.jpg,fssai Lic No_ 10012026000040 10012031000033
2,image_3.jpg,"For Complaint or Feedback, Contact Email: info@blinkit.com"
17,image_2.jpg,"Fcr Comc aint / Comments please Kiite t0; 'Customer Care Executive' at : VICTORIA FOODS PVT. LTD. 8-32, LAMRERCE Road; INDL; AREA, DELHI - 110 035 (NDIA) Or at + 91-11.45325500 (30 Lines) or e-mail at: info@rajdhanigroup com Mebsite: WMWutajnanigroup.com"
20,image_3.jpg,"For Complaint or Feedback, Contact Email: info@blinkit.com"
20,image_1.jpg,"fssai GMO F R E & LIC No : 10018011005090 SnateNxMutaad By: KRBLLiited VORLD S LARGEST RIcE MILLERS & BASMATI Rice EXPORTERS Regd, Office : 5190, Lahori Gate; Delhi - 110 006, INDIA."
20,image_2.jpg,"minulc ? For any comments _ 7 complints' Write to uS at KRBL Limited; €32, Sec.62, Noida - 201 301, Gautam Budh (UP) Or call us at : +91 8448893199 Email : customercare@krblindia com Follow us @indiagateloods: suggestions Nagar ("
13,image_1.jpg,"Nutritional Information Serving per pack: 10 Serve Size: 100g) Per 1009 Per Serve ~Contribution to RDA Per Sctve Energy (Kcal) 372 372 19% Carbohydrate 21 Protein (9) 59 59 Total Sugor (9) 1.81 1.81 Added Sugar (9) Fat (9) 9% Saturated Fat (9) NMT"" 1,52 1,52 7% Trans Fat (9) NMT# 0.02 0.02 1% Cholestrol (mg) NMT"" <01 <01 Sodium (mg) 68 68 3% Approximate Values #NMT: Not More Than Cakulated on basis of ZOOOkcal energy 679 total fat 229 saturated fat 29 trons fat 50 added sugar and Z00Omg of sodium (59 salt) requirement for average adult per doy fssai Ingredient: Chana Dal Lic No. 10013021000661"
21,image_3.jpg,"For Complaint or Feedback, Contact Email: info@blinkit.com"
25,image_3.jpg,"For Complaint or Feedback, Contact Email: info@blinkit.com"
25,image_2.jpg,"Ilarketed by; LT FOODS NURTURING GOODNESS Registered Otice' Unic No; 134, First Floor; Rectangle-|, Saket District Center; New Delhi11007 India; Manufactured by; For manufacturinginfo, please see firsttwo letters of LOT Number & scan the QRcode; Code Factory Address: AI LT Foods Limited 43Km; Stone GT Road; Bahalgarh; Sonipat; Haryana-131021 (ndia} PRODUCT OF INDIA"
